id,category,enemy,weakness,resistance,runes,spell_name,spell_type,enemy_hp_delta,player_hp_delta,status_effects,chaos
rune-goblin-02314,combo_spells,Button Oracle,coin,thread,mirror + eye + jagged_line,Mirror Says No,reflect_damage,-1,0,reflect_ready|enemy_cut,7
rune-goblin-03013,combo_spells,Lantern Slug,leaf,flame,thread + tooth,Damp Tooth Protocol,bind_and_bite,-2,0,enemy_bound|enemy_intimidated,5
rune-goblin-01828,basic_spells,Tax Wraith,coin,bone,eye + tooth,Molar Threat of Wobbly Lint,reveal_prophecy_bite_hunger,-1,0,enemy_revealed|enemy_intimidated,5
rune-goblin-02881,combo_spells,PDF Wraith,mirror,tooth,closed_circle + flame,Cinder Tortoise Circle,burning_shield,-1,0,player_shielded|enemy_burned,6
rune-goblin-03460,cursed_spells,Receipt Basilisk,flame,coin,closed_circle + broken_mark,Unlicensed Wart Safety Hoop Gambit,ward_trap,0,-1,player_shielded|player_cursed,8
rune-goblin-00946,basic_spells,Sock Mimic,tooth,wave,mirror + closed_circle,Ouroboring Umbrella Reflection,reflect_reverse_ward_trap,0,0,reflect_ready|player_shielded,4
rune-goblin-01948,basic_spells,Lantern Slug,leaf,flame,closed_circle + three_dots + eye,Closed Pebble Swarm of Minor Regret,ward_trap_swarm_multiply,-1,0,player_shielded|enemy_swarmed|enemy_revealed,7
rune-goblin-01981,basic_spells,Calendar Beast,eye,flame,eye + key,Blinking Wart Eye,reveal_prophecy_unlock_secret,-1,0,enemy_revealed|room_unlocked|enemy_weakened,7
rune-goblin-03767,cursed_spells,Receipt Basilisk,flame,coin,thread + eye + broken_mark,Broken Blinking Sock String Clause,bind_stitch_reveal_prophecy,-1,0,enemy_bound|enemy_revealed|player_cursed,8
rune-goblin-01403,basic_spells,Sock Mimic,tooth,wave,coin + wave + flame,Torchy Puddle Mood,greed_trade_water_emotion,-1,0,coin_offered|enemy_softened|enemy_burned|enemy_resisted,5
rune-goblin-02489,combo_spells,Receipt Basilisk,flame,coin,leaf + spiral + bone,Brass Tiny Herb Protocol,decay_heal,0,2,player_regenerating|decay_risk,6
rune-goblin-02655,combo_spells,Mirror Fungus,confusion,direct_damage,key + wave,Door Sob Unlock,emotional_unlock,0,0,room_unlocked|enemy_softened,6
rune-goblin-01136,basic_spells,Queue Goblin,coin,flame,bell + closed_circle + three_dots + spiral,Button Ward Gambit,summon_alarm_ward_trap,-2,0,enemy_startled|player_shielded|enemy_swarmed,8
rune-goblin-04640,invalid_edge_cases,Stapler Hydra,jagged_line,thread,tooth + dragon + admin_panel,Blank Spell of Responsible Refusal,invalid_spell,0,0,spell_fizzled|syntax_warning,1
rune-goblin-01943,basic_spells,PDF Wraith,bell,tooth,flame + thread,Threaded Seam Hex Clause,burn_danger_bind_stitch,-2,0,enemy_burned|enemy_bound,6
rune-goblin-01202,basic_spells,Sock Mimic,bell,wave,bone + spiral,Panic Coil of Rude Whisper,death_fear_prophecy_loop,-2,0,enemy_frightened|enemy_confused,4
rune-goblin-00299,basic_spells,PDF Wraith,mirror,tooth,leaf + closed_circle + spiral,Dizzy Panic Coil of Minor Regret,growth_heal_poison_ward_trap,-1,0,player_regenerating|player_shielded|enemy_confused,5
rune-goblin-02110,combo_spells,Lantern Slug,closed_circle,flame,mirror + jagged_line,Polished Lightning Refund,reflect_damage,-1,0,reflect_ready|enemy_cut,6
rune-goblin-04553,enemy_specific,Emotional Door,wave,jagged_line,thread + eye + wave,Prophetic Gaze Clause,bind_stitch_reveal_prophecy,-1,0,enemy_bound|enemy_revealed|enemy_softened|enemy_weakened|weakness_triggered,7
